product,species,count
prmA,944,1
prmA,945,0
prmA,948,0
prmA,957,0
rplP,957,1
rplP,944,0
rplP,945,0
rplP,948,0
rplV,948,2
rplV,957,2
rplV,945,0
rplV,944,0
rpmH,944,1
rpmH,957,2
rpmH,945,0
rpmH,948,0
fabH,957,1
fabH,944,0
fabH,945,0
fabH,948,0
DUF2169-domain-containing-protein,948,1
DUF2169-domain-containing-protein,944,0
DUF2169-domain-containing-protein,957,0
DUF2169-domain-containing-protein,945,0
mtrD,948,1
mtrD,944,0
mtrD,957,0
mtrD,945,0
glk,944,1
glk,945,0
glk,948,0
glk,957,0
helix-turn-helix-domain-containing-protein,945,1
helix-turn-helix-domain-containing-protein,944,0
helix-turn-helix-domain-containing-protein,948,0
helix-turn-helix-domain-containing-protein,957,0
mtrR,948,4
mtrR,944,0
mtrR,957,0
mtrR,945,0
Integral-membrane-protein,945,3
Integral-membrane-protein,944,0
Integral-membrane-protein,948,0
Integral-membrane-protein,957,0
NADH-quinone-oxidoreductase,957,1
NADH-quinone-oxidoreductase,944,0
NADH-quinone-oxidoreductase,945,0
NADH-quinone-oxidoreductase,948,0
mafB5,957,3
mafB5,944,0
mafB5,945,0
mafB5,948,0
pglB2,948,1
pglB2,944,0
pglB2,957,0
pglB2,945,0
pilQ,957,4
pilQ,944,0
pilQ,945,0
pilQ,948,0
